ID,City,State,Population
1043,Haora (Howrah),West Bengali,950435
1044,Varanasi (Benares),Uttar Pradesh,929270
1045,Patna,Bihar,917243
1046,Srinagar,Jammu and Kashmir,892506
1047,Agra,Uttar Pradesh,891790
1048,Coimbatore,Tamil Nadu,816321
1049,Thane (Thana),Maharashtra,803389
1050,Allahabad,Uttar Pradesh,792858
1051,Meerut,Uttar Pradesh,753778
1052,Vishakhapatnam,Andhra Pradesh,752037
1053,Jabalpur,Madhya Pradesh,741927
1054,Amritsar,Punjab,708835
1055,Faridabad,Haryana,703592
1056,Vijayawada,Andhra Pradesh,701827
1057,Gwalior,Madhya Pradesh,690765
1058,Jodhpur,Rajasthan,666279
1059,Nashik (Nasik),Maharashtra,656925
1060,Hubli-Dharwad,Karnataka,648298
1061,Solapur (Sholapur),Maharashtra,604215
1062,Ranchi,Jharkhand,599306
1063,Bareilly,Uttar Pradesh,587211
1064,Guwahati (Gauhati),Assam,584342
1065,Shambajinagar (Aurangabad),Maharashtra,573272
1066,Cochin (Kochi),Kerala,564589
1067,Rajkot,Gujarat,559407
1068,Kota,Rajasthan,537371
1069,Thiruvananthapuram (Trivandrum,Kerala,524006
1070,Pimpri-Chinchwad,Maharashtra,517083
1071,Jalandhar (Jullundur),Punjab,509510
1072,Gorakhpur,Uttar Pradesh,505566
1073,Chandigarh,Chandigarh,504094
1074,Mysore,Karnataka,480692
1075,Aligarh,Uttar Pradesh,480520
1076,Guntur,Andhra Pradesh,471051
1077,Jamshedpur,Jharkhand,460577
1078,Ghaziabad,Uttar Pradesh,454156
1079,Warangal,Andhra Pradesh,447657
1080,Raipur,Chhatisgarh,438639
1081,Moradabad,Uttar Pradesh,429214
1082,Durgapur,West Bengali,425836
1083,Amravati,Maharashtra,421576
1084,Calicut (Kozhikode),Kerala,419831
1085,Bikaner,Rajasthan,416289
1086,Bhubaneswar,Orissa,411542
1087,Kolhapur,Maharashtra,406370
1088,Kataka (Cuttack),Orissa,403418
1089,Ajmer,Rajasthan,402700
1090,Bhavnagar,Gujarat,402338
1091,Tiruchirapalli,Tamil Nadu,387223
1092,Bhilai,Chhatisgarh,386159
1093,Bhiwandi,Maharashtra,379070
1094,Saharanpur,Uttar Pradesh,374945
1095,Ulhasnagar,Maharashtra,369077
1096,Salem,Tamil Nadu,366712
1097,Ujjain,Madhya Pradesh,362266
1098,Malegaon,Maharashtra,342595
1099,Jamnagar,Gujarat,341637
1100,Bokaro Steel City,Jharkhand,333683
1101,Akola,Maharashtra,328034
1102,Belgaum,Karnataka,326399
1103,Rajahmundry,Andhra Pradesh,324851
1104,Nellore,Andhra Pradesh,316606
1105,Udaipur,Rajasthan,308571
1106,New Bombay,Maharashtra,307297
1107,Bhatpara,West Bengali,304952
1108,Gulbarga,Karnataka,304099
1109,New Delhi,Delhi,301297
1110,Jhansi,Uttar Pradesh,300850
1111,Gaya,Bihar,291675
1112,Kakinada,Andhra Pradesh,279980
1113,Dhule (Dhulia),Maharashtra,278317
1114,Panihati,West Bengali,275990
1115,Nanded (Nander),Maharashtra,275083
1116,Mangalore,Karnataka,273304
1117,Dehra Dun,Uttaranchal,270159
1118,Kamarhati,West Bengali,266889
1119,Davangere,Karnataka,266082
1120,Asansol,West Bengali,262188
1121,Bhagalpur,Bihar,253225
1122,Bellary,Karnataka,245391
1123,Barddhaman (Burdwan),West Bengali,245079
1124,Rampur,Uttar Pradesh,243742
1125,Jalgaon,Maharashtra,242193
1126,Muzaffarpur,Bihar,241107
1127,Nizamabad,Andhra Pradesh,241034
1128,Muzaffarnagar,Uttar Pradesh,240609
1129,Patiala,Punjab,238368
1130,Shahjahanpur,Uttar Pradesh,237713
1131,Kurnool,Andhra Pradesh,236800
